"Subject","Condition","RT_m","RT_sd","RT_med","RT_cov"
1,"HH",765.34,180.25,750,0.24
1,"HL",698.82,182.68,650,0.26
1,"LH",760.74,214,700,0.28
1,"LL",761.48,215.71,717,0.28
1,"XX",1196.61,248.14,1150,0.21
2,"HH",810.92,234.06,751,0.29
2,"HL",905.75,274.7,859,0.3
2,"LH",869.52,273.64,793,0.31
2,"LL",947.21,273.53,926,0.29
2,"XX",1889.72,435.64,1801,0.23
3,"HH",727.36,154.18,700,0.21
3,"HL",802.85,229.56,750,0.29
3,"LH",771.79,204.67,717,0.27
3,"LL",844.58,259.8,767,0.31
3,"XX",1381.97,225.08,1367,0.16
4,"HH",632.46,142.07,599,0.22
4,"HL",671.97,180.68,618,0.27
4,"LH",652.18,171.8,617,0.26
4,"LL",691.74,216.77,617,0.31
4,"XX",878.46,151.49,834,0.17
5,"HH",616.69,114.48,601,0.19
5,"HL",597.69,132.77,551,0.22
5,"LH",627.75,125.43,601,0.2
5,"LL",667.54,174.58,618,0.26
5,"XX",1000.26,188.01,951,0.19
6,"HH",504.62,111.82,500,0.22
6,"HL",534.06,120.82,501,0.23
6,"LH",538.26,126.34,501,0.23
6,"LL",527.35,153.77,485,0.29
6,"XX",777.79,152.1,750,0.2
7,"HH",904.23,317.88,818,0.35
7,"HL",929.26,277.47,851,0.3
7,"LH",925.14,293.79,884,0.32
7,"LL",971.07,319.52,893,0.33
7,"XX",1726.7,300.37,1633,0.17
8,"HH",672.22,116.73,651,0.17
8,"HL",698.41,146.13,675,0.21
8,"LH",740.07,178.39,718,0.24
8,"LL",798.95,187.8,783,0.24
8,"XX",1125.61,187.51,1101,0.17
9,"HH",843.31,224.45,791,0.27
9,"HL",922.5,256.13,868,0.28
9,"LH",980.4,318.79,934,0.33
9,"LL",966.81,310.7,901,0.32
9,"XX",1564.6,353.62,1484,0.23
10,"HH",627.45,158.25,584,0.25
10,"HL",668.84,226.89,633,0.34
10,"LH",655.29,186.44,616,0.28
10,"LL",662.74,147.74,635,0.22
10,"XX",944.36,241.03,885,0.26
11,"HH",851.64,269.33,784,0.32
11,"HL",1005.47,314.52,1001,0.31
11,"LH",915.07,302.37,801,0.33
11,"LL",1077.22,360.79,1034,0.33
11,"XX",1628.71,386.5,1601,0.24
12,"HH",735.26,176.54,684,0.24
12,"HL",740.79,148.43,717,0.2
12,"LH",749.48,151.78,718,0.2
12,"LL",769.22,167.94,709,0.22
12,"XX",1118.09,226.27,1084,0.2
13,"HH",716.93,153.89,684,0.21
13,"HL",707.92,166.42,683,0.24
13,"LH",740.67,184.53,675,0.25
13,"LL",729.87,172.29,684,0.24
13,"XX",1209.62,247.04,1200,0.2
14,"HH",619.39,141.66,567,0.23
14,"HL",589.07,113.07,567,0.19
14,"LH",618.83,128.14,584,0.21
14,"LL",652.88,167.24,601,0.26
14,"XX",1221.6,253.28,1184,0.21
15,"HH",672.39,198.89,617,0.3
15,"HL",758.41,279.99,650,0.37
15,"LH",714.33,216.1,633,0.3
15,"LL",750.34,282.21,667,0.38
15,"XX",1060,241,1042,0.23
16,"HH",728.72,142.15,683,0.2
16,"HL",760.17,169.22,717,0.22
16,"LH",769.55,158.51,733,0.21
16,"LL",808.82,186.32,767,0.23
16,"XX",919.35,166.81,900,0.18
17,"HH",590.64,155.61,550,0.26
17,"HL",668.8,196.08,617,0.29
17,"LH",641.46,222.81,567,0.35
17,"LL",682.73,227,600,0.33
17,"XX",941.6,225.39,917,0.24
18,"HH",623.71,141.62,584,0.23
18,"HL",593.16,88.31,568,0.15
18,"LH",665.67,141.27,634,0.21
18,"LL",679.42,163.43,634,0.24
18,"XX",905.04,191.37,851,0.21
21,"HH",789.48,170.69,751,0.22
21,"HL",811.54,167.18,751,0.21
21,"LH",760.89,143.32,718,0.19
21,"LL",808.9,184.82,751,0.23
21,"XX",1246.99,226.03,1267,0.18
22,"HH",610.5,108.01,585,0.18
22,"HL",600.53,88.01,584,0.15
22,"LH",630.15,120.25,618,0.19
22,"LL",648.88,130.33,618,0.2
22,"XX",1040.49,189.94,1001,0.18
23,"HH",820.54,211.88,767,0.26
23,"HL",811.96,233.39,767,0.29
23,"LH",810.32,207.72,767,0.26
23,"LL",870.25,216.59,800,0.25
23,"XX",1375.76,339.99,1333,0.25
24,"HH",673.04,150.56,633,0.22
24,"HL",734.34,189.04,683,0.26
24,"LH",708.22,166.51,667,0.24
24,"LL",804.03,227.64,733,0.28
24,"XX",1411.57,243.86,1367,0.17
25,"HH",896.72,283.84,817,0.32
25,"HL",923.07,329.72,825,0.36
25,"LH",867.34,223.2,833,0.26
25,"LL",872.38,272.23,767,0.31
25,"XX",1574.23,378.89,1600,0.24
26,"HH",686.36,194.93,625,0.28
26,"HL",650.67,141.18,617,0.22
26,"LH",693.55,156.27,667,0.23
26,"LL",754.92,231.98,683,0.31
26,"XX",1249.99,208.7,1250,0.17
27,"HH",648.08,134.61,618,0.21
27,"HL",628.77,120.57,601,0.19
27,"LH",757.58,223.92,684,0.3
27,"LL",763.69,227.99,668,0.3
27,"XX",1241.71,246.63,1234,0.2
28,"HH",631.55,149.59,617,0.24
28,"HL",616.34,125.35,600,0.2
28,"LH",679.06,193.14,651,0.28
28,"LL",643.35,185.3,583,0.29
28,"XX",1015.47,307.42,959,0.3
29,"HH",851.7,204.37,800,0.24
29,"HL",865.48,223.46,834,0.26
29,"LH",937.37,237.55,900,0.25
29,"LL",946.82,219.66,917,0.23
29,"XX",1319.57,254.62,1284,0.19
30,"HH",701.33,185.56,658,0.26
30,"HL",752.69,236.48,692,0.31
30,"LH",778.57,242.99,733,0.31
30,"LL",751.45,257.06,683,0.34
30,"XX",1291.29,401.85,1192,0.31
31,"HH",807.39,197.84,767,0.25
31,"HL",787.37,228.79,700,0.29
31,"LH",785.6,195.01,750,0.25
31,"LL",814.97,221.27,750,0.27
31,"XX",1044.44,216.47,1025,0.21
32,"HH",657.29,137.93,625,0.21
32,"HL",690.97,176.91,658,0.26
32,"LH",716.65,174.59,683,0.24
32,"LL",713.12,188.18,667,0.26
32,"XX",893.9,196.86,850,0.22
